,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
65,SFuRak,0,0,0,5835,1318,4,5835,1318,4,5835,6590,20,12445
0,Santa Rale,0,0,0,176,2064,223,176,2064,223,176,10320,1115,11611
8,JohnHawkwood,0,0,0,2018,1725,150,2018,1725,150,2018,8625,750,11393
4,Guts Black,0,0,0,2852,1395,166,2852,1395,166,2852,6975,830,10657
2,EDOX,0,0,0,1631,1593,189,1631,1593,189,1631,7965,945,10541
29,SashaM,0,0,0,799,1778,63,799,1778,63,799,8890,315,10004
26,Dasharath,0,0,0,4896,932,72,4896,932,72,4896,4660,360,9916
27,MaceWindujr,0,0,0,1277,1570,69,1277,1570,69,1277,7850,345,9472
20,Kingsy D,0,0,0,3465,1085,102,3465,1085,102,3465,5425,510,9400
84,Foxxy,0,0,0,3265,1156,0,3265,1156,0,3265,5780,0,9045
74,komyc,0,0,0,2743,1238,1,2743,1238,1,2743,6190,5,8938
35,SEARCHER,0,0,0,1525,1423,37,1525,1423,37,1525,7115,185,8825
66,30PAH,0,0,0,3372,932,4,3372,932,4,3372,4660,20,8052
18,Duke Martin,0,0,0,2095,1075,103,2095,1075,103,2095,5375,515,7985
64,MORTI,0,0,0,196,1528,4,196,1528,4,196,7640,20,7856
13,StankoSRBLFC,0,0,0,1851,1020,130,1851,1020,130,1851,5100,650,7601
22,brokenjade,0,0,0,2,1415,92,2,1415,92,2,7075,460,7537
54,malimiki,0,0,0,3449,786,10,3449,786,10,3449,3930,50,7429
1,Lord Gitter,0,0,0,1251,981,222,1251,981,222,1251,4905,1110,7266
56,Karlosas,0,0,0,0,1443,7,0,1443,7,0,7215,35,7250
3,MorganKell,0,0,0,0,1232,189,0,1232,189,0,6160,945,7105
57,docente,0,0,0,1190,1060,7,1190,1060,7,1190,5300,35,6525
37,GEERT,0,0,0,868,1098,32,868,1098,32,868,5490,160,6518
50,buddha6366,0,0,0,845,1049,12,845,1049,12,845,5245,60,6150
58,R1m,0,0,0,0,1215,6,0,1215,6,0,6075,30,6105
28,xstanfordx,0,0,0,0,1152,67,0,1152,67,0,5760,335,6095
34,Wntrking,0,0,0,0,1145,39,0,1145,39,0,5725,195,5920
5,HussyofWhips,0,0,0,0,1001,162,0,1001,162,0,5005,810,5815
32,12M,0,0,0,1421,816,52,1421,816,52,1421,4080,260,5761
53,EnchantressM,0,0,0,0,1139,11,0,1139,11,0,5695,55,5750
17,SlackOfDoom,0,0,0,39,894,106,39,894,106,39,4470,530,5039
11,Theomore,0,0,0,0,849,142,0,849,142,0,4245,710,4955
33,17Palad1nOnm,0,0,0,2,930,50,2,930,50,2,4650,250,4902
6,pikabooooo,0,0,0,954,618,161,954,618,161,954,3090,805,4849
69,MariaZoe,0,0,0,1,956,2,1,956,2,1,4780,10,4791
21,koddi,0,0,0,6,810,93,6,810,93,6,4050,465,4521
19,Jaredsc,0,0,0,0,790,103,0,790,103,0,3950,515,4465
23,Klaus Schnee,0,0,0,0,807,82,0,807,82,0,4035,410,4445
12,BuharaShroom,0,0,0,12,754,132,12,754,132,12,3770,660,4442
14,DarkLord Dan,0,0,0,0,765,115,0,765,115,0,3825,575,4400
10,dingleberry,0,0,0,0,732,145,0,732,145,0,3660,725,4385
75,DKH,0,0,0,1,868,1,1,868,1,1,4340,5,4346
25,xLestat,0,0,0,0,775,73,0,775,73,0,3875,365,4240
30,Gunnarr716,0,0,0,0,784,60,0,784,60,0,3920,300,4220
24,Schurke66,0,0,0,0,761,79,0,761,79,0,3805,395,4200
42,Lord Anibal,0,0,0,17,799,28,17,799,28,17,3995,140,4152
